PS C:\Bhavani\WIP\PnPPS\MERW Site Provisioning> Get-Command -Module *PnP*

CommandType     Name                                               Version    Source
Cmdlet          Get-PnPAccessToken                                 2.22.18... SharePointPnPPowerShellOnline
Cmdlet          Get-PnPApp                                         2.22.18... SharePointPnPPowerShellOnline
Cmdlet          Get-PnPAppAuthAccessToken                          2.22.18... SharePointPnPPowerShellOnline
Cmdlet          Get-PnPAppInstance                                 2.22.18... SharePointPnPPowerShellOnline
Cmdlet          Get-PnPAuditing                                    2.22.18... SharePointPnPPowerShellOnline
Cmdlet          Get-PnPAuthenticationRealm                         2.22.18... SharePointPnPPowerShellOnline
Cmdlet          Get-PnPAvailableClientSideComponents               2.22.18... SharePointPnPPowerShellOnline
Cmdlet          Get-PnPAzureADManifestKeyCredentials               2.22.18... SharePointPnPPowerShellOnline
Cmdlet          Get-PnPClientSideComponent                         2.22.18... SharePointPnPPowerShellOnline
Cmdlet          Get-PnPClientSidePage                              2.22.18... SharePointPnPPowerShellOnline
Cmdlet          Get-PnPConnection                                  2.22.18... SharePointPnPPowerShellOnline
Cmdlet          Get-PnPContentType                                 2.22.18... SharePointPnPPowerShellOnline
Cmdlet          Get-PnPContentTypePublishingHubUrl                 2.22.18... SharePointPnPPowerShellOnline
Cmdlet          Get-PnPContext                                     2.22.18... SharePointPnPPowerShellOnline
Cmdlet          Get-PnPCustomAction                                2.22.18... SharePointPnPPowerShellOnline
Cmdlet          Get-PnPDefaultColumnValues                         2.22.18... SharePointPnPPowerShellOnline
Cmdlet          Get-PnPDocumentSetTemplate                         2.22.18... SharePointPnPPowerShellOnline
Cmdlet          Get-PnPEventReceiver                               2.22.18... SharePointPnPPowerShellOnline
Cmdlet          Get-PnPFeature                                     2.22.18... SharePointPnPPowerShellOnline
Cmdlet          Get-PnPField                                       2.22.18... SharePointPnPPowerShellOnline
Cmdlet          Get-PnPFile                                        2.22.18... SharePointPnPPowerShellOnline
Cmdlet          Get-PnPFolder                                      2.22.18... SharePointPnPPowerShellOnline
Cmdlet          Get-PnPFolderItem                                  2.22.18... SharePointPnPPowerShellOnline
Cmdlet          Get-PnPGroup                                       2.22.18... SharePointPnPPowerShellOnline
Cmdlet          Get-PnPGroupMembers                                2.22.18... SharePointPnPPowerShellOnline
Cmdlet          Get-PnPGroupPermissions                            2.22.18... SharePointPnPPowerShellOnline
Cmdlet          Get-PnPHealthScore                                 2.22.18... SharePointPnPPowerShellOnline
Cmdlet          Get-PnPHomePage                                    2.22.18... SharePointPnPPowerShellOnline
Cmdlet          Get-PnPIndexedPropertyKeys                         2.22.18... SharePointPnPPowerShellOnline
Cmdlet          Get-PnPJavaScriptLink                              2.22.18... SharePointPnPPowerShellOnline
Cmdlet          Get-PnPList                                        2.22.18... SharePointPnPPowerShellOnline
Cmdlet          Get-PnPListItem                                    2.22.18... SharePointPnPPowerShellOnline
Cmdlet          Get-PnPMasterPage                                  2.22.18... SharePointPnPPowerShellOnline
Cmdlet          Get-PnPProperty                                    2.22.18... SharePointPnPPowerShellOnline
Cmdlet          Get-PnPPropertyBag                                 2.22.18... SharePointPnPPowerShellOnline
Cmdlet          Get-PnPProvisioningTemplate                        2.22.18... SharePointPnPPowerShellOnline
Cmdlet          Get-PnPProvisioningTemplateFromGallery             2.22.18... SharePointPnPPowerShellOnline
Cmdlet          Get-PnPPublishingImageRendition                    2.22.18... SharePointPnPPowerShellOnline
Cmdlet          Get-PnPRecycleBinItem                              2.22.18... SharePointPnPPowerShellOnline
